Aladdin,Animation,05 24 2019,A kindhearted street urchin named Aladdin embarks on a magical adventure after finding a lamp that releases a wisecracking genie while a power-hungry Grand Vizier vies for the same lamp that has the power to make their deepest wishes come true.,Guy Ritchie,Disney
Mister Rogers' Neighborhood,Comedy,02 19 1968,An American educational children's television series that was created and hosted by Fred Rogers.,Mister Rogers,Public Broadcasting Service
The Office,Comedy,07 5 2005,"An American mockumentary sitcom television series that depicts the everyday lives of office employees in the Scranton, Pennsylvania, branch of the fictional Dunder Mifflin Paper Company.",Greg Daniels,Universal Television
The Simpsons,Comedy,12 17 1989,The satiric adventures of a working-class family in the misfit city of Springfield.,Matt Groening,20th Century Fox
The Twilight Zone,Comedy,10 2 1959,"An anthology series that deals with ordinary people who find themselves in extraordinary, often supernatural, situations.",Rod Serling,Universal Television
The West Wing,Comedy,09 22 1999,"A behind-the-scenes look at the lives of the people who help America run, both in the White House and out, as well as the First Family.",Aaron Sorkin,Universal Television
30 Rock,Comedy,10 11 2006,An ensemble comedy that follows the offbeat lives of an unusual group of employees at a media company in New York City.,Tina Fey,Universal Television
Arrested Development,Comedy,11 2 2003,"The story of a wealthy family that lost everything, and the one son who had no choice but to keep them all together.",Mitchell Hurwitz,20th Century Fox
Big Bang Theory,Comedy,09 24 2007,"The Big Bang Theory is centered on five characters living in Pasadena, California: roommates Leonard Hofstadter and Sheldon Cooper; Penny, a waitress and aspiring actress who lives across the hall; and Leonard and Sheldon's equally geeky and socially awkward friends and co-workers, mechanical engineer Howard Wolowitz and astrophysicist Rajesh Koothrappali.",Chuck Lorre,Warner Bros.
Brooklyn Nine-Nine,Comedy,09 17 2013,"Follows the exploits of hilarious Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.",Dan Goor,Universal Television
Cheers,Comedy,09 30 1982,The goings-on in a friendly neighborhood bar in Boston.,James Burrows,Universal Television
The Lord of the Rings: The Fellowship of the Ring,Adventure,12 19 2001,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,New Line Cinema
The Lord of the Rings: The Return of the King,Adventure,12 17 2003,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,New Line Cinema
The Lord of the Rings: The Two Towers,Adventure,12 18 2002,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,New Line Cinema
